id_vehiculo,marca_vehiculo
1290,KEWAY
1291,SCI�N
1292,CLN
1293,DAELIMHNDA
1294,DEELYM
1295,JUILING
1296,TUC TUC
1297,HYLUX
1298,XCD125
1299,NO LEGIBLE
13,GENESIS
130,AVANT
1300,KECWAY
1301,TIALING
1302,DARWOO
1303,BAJ
1304,SUKIA
1305,FREIGTHERL
1306,BARUCHI
1307,CHOKEE
1308,LONGSHEN
1309,QUINQUI
131,PETERBIRT
1310,TOVAN
1311,FAWSIABAO
1312,FRILINER
1313,MAZA
1314,SGAT
1315,FREIGHTLINEN
1316,HINDAY
1317,KINGEAD
1318,JINLING
1319,VIENTO
132,LAND ROBER
1320,VOLKGEN
1321,CELICA
1322,LORENTO
1323,CHEVEQ
1324,CHEYSLER
1325,PETERBILL
1326,LORIN
1327,FRETOOM
1328,NEICURY
1329,NONG DOV
133,TELCEL
1330,FREENDOM
1331,SHNERDY
1332,MOTO
1333,JH125
1334,DATSU N
1335,DONGFEG
1336,DOOGZ
1337,RINNO
1338,YAMABA
1339,WEMER
134,CADISA
1340,PONTIAL
1341,FREIGHTLINER
1342,YAMAHA
1343,REXTON RX 290
1344,ASIA HERO
1345,GEO
1346,LAND ROVER
1347,DATSUN
1348,PLYMOUTH
1349,CHRYSLER
135,FREIGTHLINE
1350,VOLKS WAGEN
1351,MOTOLANSA
1352,DOGGE
1353,RENAUT
1354,MITZUBISHI
1355,GREAT WALL
1356,B.M.W.
1357,VOLSWAGEN
1358,INTER
1359,PGO
136,BLUR BIRD
1360,SANYANG
1361,JEAT
1362,V0LKSWAGEN
1363,ACORA
1364,HERO
1365,RINROAD
1366,MKAZDA
1367,LEYLAND
1368,CLERISTER
1369,INTRNATIONAL
137,ININTERNATIONAL
1370,FREIGHTLINE
1371,BVW
1372,MARC
1373,CHEVY
1374,GOLF
1375,HAOJIN
1376,DUCAR
1377,FREIGHLINER
1378,TUAXX
1379,UM. MATIZIX
138,HAOQING
1380,AEOLUS
1381,AIA HERO
1382,HAPEL
1383,BENIGNO
1384,MOTOLANZA
1385,KEMUORTH
1386,WAGONNER
1387,WAYSTER
1388,HARLY JR
1389,KOVANDO
139,PLXMOUTH
1390,WOLWAGEN
1391,GONOW
1392,DIHATSU
1393,CHANIN
1394,MOTOHASA
1395,FREIGHLINE
1396,SEPTHIA
1397,MERCEDENZ BENZ
1398,FREINGHTLINE
1399,HAFEI
14,ASIA HERO 200
140,BAMAJA
1400,FREIGTLHINER
1401,PLYMOHUT
1402,YETIX
1403,NISUN
1404,LA TRUCKS
1405,GUIO
1406,CHANGE
1407,TRUCKS UD
1408,EVEREST
1409,FREINGTHLINE
141,FREIGATLINER
1410,KENETIC
1411,JAJJ
1412,PETERBIL
1413,ESPORT/FORD
1414,UDTYUCKS
1415,INTERNAC
1416,HERO GIZMO
1417,WOLVADE
1418,DAKOTA
1419,VOLKSWAJEN
142,PESHOTET
1420,HUM
1421,BUD
1422,FORTUNE
1423,TROOPER
1424,V.W.
1425,FRIDO
1426,WHITEGHG
1427,JIELING
1428,JEEP CHEROKEE
1429,GRIS
143,FT125
1430,RAYBAR
1431,HAOGING
1432,WOLSVAGEN
1433,FREIGHTLANDER
1434,VOLWAGER
1435,GEEY
1436,PRIZM
1437,CHERRY
1438,DONGFERG
1439,FREIGHTHINER
144,RRILO
1440,FREIGLINHER
1441,OLDSMOBILE
1442,SANYOM
1443,GIALING
1444,CHAGUN
1445,PICANTO KIA
1446,CADILLAC
1447,BEIGE
1448,TRUCKS
1449,YONPRINS
145,WOYANG
1450,AG
1451,STERLING
1452,FAU JIABAO
1453,ZUBARV
1454,DAYUM
1455,SHINELAY
1456,SYM
1457,KINGLONG
1458,DEALIM
1459,FREINGHTLINER
146,VOLSHWAGEN
1460,SK YGO
1461,HONDOW
1462,JETTA
1463,ACUVA
1464,SANG YONG
1465,AEROMAX
1466,SERPENTON
1467,AVEO
1468,WUYANA
1469,MITSUBISHI.
147,C.M.C.
1470,VIWI
1471,CIVIE EXA
1472,ASHIERO
1473,HENWORTH
1474,FREIGHHINER
1475,YOMBO
1476,GREATWAN
1477,VOLHSWAGEN
1478,VONTO
1479,EVERET
148,HIACE
1480,UD TROCES
1481,ESCODAK
1482,MCL
1483,CHRYSLEN
1484,TOUGA
1485,AMH
1486,CHANO
1487,CITRON
1488,KIWON
1489,DFON
149,HIALING
1490,DONG -FENG
1491,QINQI
1492,PULZAR
1493,SEPIA
1494,HUMMER
1495,BRILLIANCEL
1496,BRILLIANCE
1497,HAOJUE
1498,VAYO
1499,UDTRUCKS
15,FREIGWTINER
150,PESTYNI
1500,TOYOTA COROLA
1501,MGMC
1502,BAO MAWANG
1503,FREGHLINE
1504,DESTYNI
1505,CODISA
1506,000
1507,MAGNUM
1508,SERPENTO
1509,FORF
151,JAC
1510,MAHINDRA
1511,SERPENTOR
1512,MTM
1513,HIDGE
1514,SANTANG
1515,XGJAO
1516,HYONSUNG
1517,DUANTE
1518,LOAND ROVER
1519,DATSUM
152,HILUX
1520,JUNTER
1521,AELOUS
1522,CHEVYVAN
1523,000000
1524,KYMRO
1525,QINGQUI
153,YAMA
154,FKIA
155,TALING
156,CHANCHE
157,KIMGO
158,DATZ
159,FREHITLINER
16,FORD 623
160,RAYBAN
161,HIA
162,GREATVITAL
163,FOWN
164,SERVIMETAL
165,REBELLIAN
166,V0LVO
167,KURIOTO
168,RIVERA
169,SCENC
17,KENWORHL
170,AV 2000
171,DONAFENA
172,MOROLANZA
173,VERDE
174,VOLKSWEN
175,VAYV
176,190 E MERCEDEZ
177,SCAT
178,STERLINO
179,DODGO
18,LANCER
180,LIFON
181,CADIZA
182,KCEWAY
183,SEUPENTO
184,VDTRUCKS
185,SHIWERAY
186,WOLKSWAST
187,BOXE S
188,RAHPUNNER
189,SAYA
19,MINI
190,MENCURY
191,GTM
192,VOLWO
193,HYUDAI
194,CHEVROLET
195,HINO
196,FORD
197,MARCK
198,FREIGTHLINER
199,DACUM
2,HONDA
20,PATARBILT
200,CHEROLET
201,MAJAJ
202,ALFA ROMEO
203,KIZ
204,VOLKSWAFEN
205,DATSIN
206,TATA
207,DAIHATSUN
208,DINA
209,DESTINY
21,YUMBO
210,SHSKI
211,ROSMO
212,WENFEG
213,WAYSTAR
214,EAGLE
215,DYNA
216,PROTEGE
217,MITSUIBISHI
218,DISTING
219,KYMCO
22,UD. TRUCKS
220,WOLKWAGEN
221,MERCEDES
222,KINKOLD
223,WANGEN
224,CHANSAN
225,NISSAN SENTRA
226,DAIFO
227,E-TON
228,YUGSIN
229,VOLKSVAGEN
23,SIN MAREA
230,SANJUNG
231,QUINCAI
232,CHEROKE
233,CHEVROLET CHEVY
234,HERRO
235,DAIHTSUN
236,HOINO
237,FOD
238,CHAPGAN
239,JUMBO
24,FUSO-FE-HO
240,EASMAN
241,WHITEGM
242,UD.TRUCS
243,WOVISIBLE
244,RENWARTH
245,AHMR
246,PATROL
247,HYOSUNG
248,UDTRUCK
249,WULUING
25,YARIS
250,S/M
251,MERCEDEZ  BENZ
252,COLL
253,SKGO
254,SINMARCA
255,SEPHIA KIA
256,FREHLINER
257,FREEDOM
258,LOICIN
259,UN TRUCKS
26,MERCEDEZ B.
260,BERING
261,FRECDON
262,BAOXIN
263,HONKI
264,LONCH
265,BLUSTAR
266,CHEVROLET/CIDEA
267,SEANG YONG
268,CRRYSLER
269,COL
27,FORD CAMION
270,TEAHUCH
271,HIUNDAY
272,FESTIVA
273,SAN YANG
274,HONDA CIVIC
275,MATRIX I50
276,SHIFENG
277,CULT
278,SHINERAY
279,DAYON
28,JINCHENG
280,TROPER
281,CCOLT
282,AUROCAR
283,MTX
284,HEFEI
285,GREATWALL
286,HIERO
287,NISSAN CENTRA
288,FAWJIABZO
289,LITAN
29,INTERNANCIONAL
290,WURANG
291,AUTO MOSA
292,PLYMOATH
293,CARPENTER
294,WOLKVAGEN
295,MACAC
296,SUNNY
297,MORETTI
298,WOLVAN
299,KEEWAY
3,SUZUKI
30,CHANGAN
300,FRENGCHI
301,CHRISLER
302,TUS
303,ZHONGNENG
304,AVINTI
305,JIN CHENG
306,GREATWOLL
307,VOYAGER
308,ATOZ
309,DAHILIATSU
31,IZUZU
310,FAUWJIABAO
311,BRULALE
312,YILEN
313,JIINCHENG
314,GEO M
315,CHRYSHER
316,FORLAND
317,LONCING
318,GUILLER
319,DACKAR
32,YIBEN
320,JETA
321,FRANCISCO
322,TMC
323,COLT VISTA
324,GMW
325,PIAGGIO
326,FEAT
327,HOOBON
328,WULINE
329,Z X
33,DODGE RAM
330,N-V
331,MERCEDEZ-BENZ
332,LONSING
333,DAIHATZU
334,SPORTAGE
335,DAEWON
336,PICANTO
337,DOOGE
338,JINBER
339,KMLON
34,VILKSWAGEN
340,SPITZER
341,BUHIL
342,SIMB
343,MOVESE
344,STEILING
345,NCON
346,MYK
347,PAUGEOT
348,MSI
349,DAITO
35,MITSUBICHI
350,PEGOSO
351,DATUS
352,DESTINITY
353,DRAPER
354,DONGENG
355,HIN
356,LIFAR
357,FREIGHTING
358,PROTER
359,SUBARO
36,DATHATZUN
360,HYUNDAU
361,TOY
362,VIKING
363,HBAJAJ
364,FORD RUNER
365,MAGNUN
366,COCTOUN
367,INTERNATIOMAL
368,QUINQI
369,AERO MAX
37,SAMYANG
370,ORION
371,AAAA
372,WUAYANQ
373,STER
374,DAAELIM
375,GE
376,FREITLINER
377,377
378,AVNATI
379,FREISTHLINER
38,NTERNATIONAL
380,FRAKCER
381,RIA
382,HAMAHA
383,CRV
384,BYD
385,NOLVISIBLE
386,MAZDA
387,VOLKSWAGEN
388,ISUZU
389,INTERNATIONAL
39,CHEVROLETH
390,BLUE BIRD
391,FAW GRABAO
392,392
393,HAFOI
394,DODGE
395,BMW
396,DATSUN/NISSAN
397,INTERNANTIONAL
398,INTERNACIOAL
399,MERCEDEZ BENZ
4,SUBARU
40,WV
400,ACURA
401,FPRD
402,VOLKSAGEN
403,TOUGH
404,SEDAN
405,KINKO
406,YAMALIA
407,LIFAN
408,SIN DATO
409,PLIMOUNTH
41,KTOYOTA
410,WOLKS WAGEN
411,DAIMATSU
412,KAWASAKI
413,CHAN GAN
414,82
415,RANGER
416,UD NISSAN
417,LIALING
418,CITROEN
419,RESMO
42,PLUMOUTH
420,MERCEDEZ
421,KINLON
422,VOKSWAGEN
423,THOMAS
424,BLANCO
425,FREIGHTLAINER
426,RALLY PRIMA
427,MITXUBISHI
428,WOLKSWAGEN
429,YA MAHA
43,MAZAD
430,DONGZ
431,UD.TRUCKS
432,FREIGTLINER
433,ASIA HECO
434,KENWORKE
435,REGENT
436,SKODA
437,RANYANG
438,LADA
439,YAHAMA
44,MIRAGE
440,LUFKIN
441,DAILIM
442,PEUGEOR
443,CHYSLER
444,FREDECON
445,GMC.
446,DAYUN
447,FREIGLHINE
448,SIN. MARCA
449,UN TRUCK
45,MERCEDES  BENZ
450,GEO TRACKER
451,GUEST
452,FREDOM
453,METROXF
454,FREINGLIT
455,AMTRAN
456,TACOMA
457,AHITO
458,CENTENY
459,RP UM100-6
46,RENAUL
460,VOLKSW
461,MATIZSE
462,LANDROVER
463,SANYANE
464,ASIA H.
465,RENWOTH
466,WUYONG
467,COOPER
468,HALIKA
469,JALING
