id_vehiculo,marca_vehiculo
988,ASA HERO
989,SEAL
99,DELIM
990,FOTON
991,HYOSONG
992,CHEIOKEE
993,SEPHIA
994,UPIENGHG
995,CHANA
996,YUMBO ROAD POWER 125
997,NIISSAN
998,NO VISIBLE
999,PUEGEOT
0,POER
